,MD1,MDP,MD3,delta_MDP,delta_MD3,allowed_by_LHC,allowed_by_DD,allowed_by_ID,allowed_by_RD
0,60.0,100.0,200.0,40.0,140.0,,,,
1,60.0,100.0,300.0,40.0,240.0,,,,
2,60.0,100.0,400.0,40.0,340.0,,,,
3,60.0,100.0,500.0,40.0,440.0,,,,
4,60.0,200.0,300.0,140.0,240.0,,,,
5,60.0,200.0,400.0,140.0,340.0,,,,
6,60.0,200.0,500.0,140.0,440.0,,,,
7,60.0,300.0,400.0,240.0,340.0,,,,
8,60.0,300.0,500.0,240.0,440.0,,,,
9,60.0,400.0,500.0,340.0,440.0,,,,
10,105.0,200.0,300.0,95.0,195.0,,,,
11,105.0,200.0,400.0,95.0,295.0,,,,
12,105.0,200.0,500.0,95.0,395.0,,,,
13,105.0,300.0,400.0,195.0,295.0,,,,
14,105.0,300.0,500.0,195.0,395.0,,,,
15,105.0,400.0,500.0,295.0,395.0,,,,
16,150.0,200.0,300.0,50.0,150.0,,,,
17,150.0,200.0,400.0,50.0,250.0,,,,
18,150.0,200.0,500.0,50.0,350.0,,,,
19,150.0,300.0,400.0,150.0,250.0,,,,
20,150.0,300.0,500.0,150.0,350.0,,,,
21,150.0,400.0,500.0,250.0,350.0,,,,
22,195.0,200.0,300.0,5.0,105.0,,,,
23,195.0,200.0,400.0,5.0,205.0,,,,
24,195.0,200.0,500.0,5.0,305.0,,,,
25,195.0,300.0,400.0,105.0,205.0,,,,
26,195.0,300.0,500.0,105.0,305.0,,,,
27,195.0,400.0,500.0,205.0,305.0,,,,
28,240.0,300.0,400.0,60.0,160.0,,,,
29,240.0,300.0,500.0,60.0,260.0,,,,
30,240.0,400.0,500.0,160.0,260.0,,,,
31,285.0,300.0,400.0,15.0,115.0,,,,
32,285.0,300.0,500.0,15.0,215.0,,,,
33,285.0,400.0,500.0,115.0,215.0,,,,
34,330.0,400.0,500.0,70.0,170.0,,,,
35,375.0,400.0,500.0,25.0,125.0,,,,
