MD1,MDP,MD3,delta_MDP,delta_MD3,allowed_by_LHC,allowed_by_DD,allowed_by_ID,allowed_by_RD
0,60.0,101.0,102.0,41.0,42.0,0,0,0,0
1,60.0,101.0,202.0,41.0,142.0,0.000919176748864,0,0,0
2,60.0,101.0,302.0,41.0,242.0,0.000203682949313,0,0,0
3,60.0,101.0,402.0,41.0,342.0,0.00011957278058,0,0,0
4,60.0,101.0,502.0,41.0,442.0,0,0,0,0
5,60.0,201.0,202.0,141.0,142.0,0.0646106024211,0,0,0
6,60.0,201.0,302.0,141.0,242.0,0.0746584771067,0,0,0
7,60.0,201.0,402.0,141.0,342.0,0.11929894983,0,0,0
8,60.0,201.0,502.0,141.0,442.0,0.105581772273,0,0,0
9,60.0,301.0,302.0,241.0,242.0,0.06774457136,0,0,0
10,60.0,301.0,402.0,241.0,342.0,0.0684124755316,0,0,0
11,60.0,301.0,502.0,241.0,442.0,0.0630672938792,0,0,0
12,60.0,401.0,402.0,341.0,342.0,0.0331657057468,0,0,0
13,60.0,401.0,502.0,341.0,442.0,0.0419156131826,0,0,0
